Recipe Name,Cusine,Dish Type,INGREDIENTS,Preparation Time,Cooking Time,Preparation Steps,Cooking Steps,Img URL,Total Time
Lobia Curry (Black-Eyed Peas),Indian,Legume Dish,"LOBIA, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, GARAM MASALA, WATER",25,30,"1. Wash 1 cup black-eyed peas under running water. 2. Soak overnight or for at least 4 hours. 3. In a pressure cooker, cook the soaked lobia with 3 cups water for 4-5 whistles. 4. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds and let them splutter. 5. Add 1 finely chopped onion, saute until golden brown. 6. Add 1 tsp ginger-garlic paste, saute for 2 minutes. 7. Add 2 chopped tomatoes, cook till soft. 8. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, and salt to taste. Cook for 2 minutes.","1. Add the cooked lobia to the pan and mix well. 2. Add water as needed to adjust the consistency. 3. Simmer for 10-15 minutes, then add 1 tsp garam masala. 4. Garnish with fresh coriander leaves and serve hot with rice or roti.",https://shwetainthekitchen.com/wp-content/uploads/2021/02/Lobia-Masala.jpg,55
Pindi Chole (Chickpeas),Indian,Legume Dish,"CHICKPEAS, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, ASAFOETIDA, GHEE, SALT, TURMERIC, RED CHILI POWDER, GARAM MASALA, TEA BAG, WATER",30,40,"1. Soak 1 cup chickpeas overnight. 2. Pressure cook the soaked chickpeas with 3 cups water and a tea bag for 4-5 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds and a pinch of asafoetida. 4. Add 1 finely chopped onion, saute till golden brown. 5. Add 1 tsp ginger-garlic paste and saute for 2 minutes. 6. Add 2 chopped tomatoes, cook until soft. 7. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, and salt to taste, cook for 3-4 minutes.","1. Add the cooked chickpeas to the pan, mix well, and add water to adjust consistency. 2. Simmer for 10-15 minutes. 3. Add 1 tsp garam masala and cook for 2 minutes. 4. Garnish with fresh coriander leaves and serve with rice or roti.",https://i0.wp.com/upbeetanisha.com/wp-content/uploads/2023/01/DSC_1609.jpg?w=1200&ssl=1,70
Dhaba Style Dal,Indian,Legume Dish,"MOONG DAL, MASOOR DAL, TOOR DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, GHEE, SALT, TURMERIC, RED CHILI POWDER, GARAM MASALA, WATER",30,40,"1. Wash 1/4 cup moong dal, 1/4 cup masoor dal, and 1/4 cup toor dal. 2. Cook the mixed lentils in a pressure cooker with 3 cups water for 2-3 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds, let them splutter. 4. Add 1 finely chopped onion, saute till golden brown. 5. Add 1 tsp ginger-garlic paste and saute for 1 minute. 6. Add 2 chopped tomatoes, cook until soft. 7. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, and salt to taste. Cook for 2 minutes.","1. Add the cooked lentils to the pan, mix well, and simmer for 10 minutes. 2. Add 1 tsp garam masala and cook for another 5 minutes. 3. Garnish with fresh coriander leaves and serve with rice or roti.",https://cookingfromheart.com/wp-content/uploads/2021/09/Dhaba-Style-Dal-Fry-1.jpg,70
Dal Panchmel,Indian,Legume Dish,"MOONG DAL, MASOOR DAL, TOOR DAL, CHANA DAL, URAD DAL, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, MUSTARD SEEDS, GHEE, SALT, TURMERIC, RED CHILI POWDER, GARAM MASALA, WATER",40,45,"1. Wash 1/4 cup each of moong dal, masoor dal, toor dal, chana dal, and urad dal. 2. Pressure cook the mixed lentils with 4 cups of water for 4-5 whistles. 3. In a pan, heat 2 tbsp ghee. Add 1 tsp cumin seeds, 1/2 tsp mustard seeds, and let them splutter. 4. Add 1 finely chopped onion, saute till golden brown. 5. Add 1 tsp ginger-garlic paste, saute for 1 minute. 6. Add 2 chopped tomatoes, cook until soft. 7. Add 1/2 tsp turmeric powder, 1 tsp red chili powder, salt to taste. Cook for 3-4 minutes.","1. Add the cooked lentils to the pan, mix well, and simmer for 10 minutes. 2. Add 1 tsp garam masala and cook for another 5 minutes. 3. Garnish with fresh coriander leaves and serve hot with rice or roti.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiIpTFL7vImAtKVjj5M3dbQiJyT73vyDy3BQ&s,85
Sambar,Indian,Legume Dish,"TOOR DAL, ONION, TOMATO, CARROT, DRUMSTICK, TAMARIND, SAMBAR POWDER, MUSTARD SEEDS, CURRY LEAVES, GREEN CHILIES, GHEE, SALT, TURMERIC, WATER",40,50,"1. Wash 1 cup toor dal and cook it in a pressure cooker with 3 cups water for 4-5 whistles. 2. In a pan, heat 2 tbsp ghee. Add 1 tsp mustard seeds and let them splutter. 3. Add 1 chopped onion and saute till golden brown. 4. Add 1 chopped tomato, 1 chopped carrot, and 2-3 drumsticks. 5. Add 1 tsp sambar powder, 1/2 tsp turmeric, salt to taste, and cook for 5 minutes.","1. Add the cooked dal to the pan, mix well, and simmer for 10 minutes. 2. Add 1 tbsp tamarind pulp and water to adjust the consistency. 3. Garnish with curry leaves and serve hot with rice or idli.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/sambar.jpg,90
Aloo Gobi,Indian,Vegetable Dish,"POTATO, CAULIFLOWER, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, WATER",25,30,"1. Peel and chop 2 medium-sized potatoes and 1/2 head of cauliflower into small pieces. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped potatoes and cauliflower to the pan, mix well. 2. Add 1/2 cup of water and cover the pan. Let it cook for 15-20 minutes, stirring occasionally. 3. Add 1 tsp garam masala and cook for another 2-3 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/aloo-gobi-recipe.jpg,55
Aloo Matar,Indian,Vegetable Dish,"POTATO, GREEN PEAS, ONION, TOMATO, GINGER, GARLIC, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, WATER",25,30,"1. Peel and chop 2 medium potatoes into cubes. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped potatoes and 1 cup of green peas to the pan, mix well. 2. Add 1/2 cup of water and cover the pan. Let it cook for 15-20 minutes. 3. Add 1 tsp garam masala and cook for another 2-3 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.cubesnjuliennes.com/wp-content/uploads/2020/07/Punjabi-Aloo-Matar-Recipe.jpg,55
Bhindi Masala,Indian,Vegetable Dish,"BHINDI, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",20,25,"1. Wash and chop 250g okra (bhindi) into 1-inch pieces. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped okra to the pan, mix well, and cook on medium heat for 10-15 minutes, stirring occasionally. 2. Add 1 tsp garam masala and cook for another 2-3 minutes. 3. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://aromaticessence.co/wp-content/uploads/2022/06/punjabi_bhindi_masala_gravy_featured.jpg,45
Baingan Bharta,Indian,Vegetable Dish,"EGGPLANT, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",30,40,"1. Roast 1 large eggplant directly on the flame or in an oven until the skin is charred and the flesh is soft. 2. Peel the skin off and mash the eggplant. 3. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 4. Add 1 chopped onion and saute until golden brown. 5. Add 1 tsp ginger-garlic paste and saute for 1 minute. 6. Add 2 chopped tomatoes and cook until soft. 7. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.",1. Add the mashed eggplant to the pan and mix well. 2. Cook for 5-7 minutes on medium heat. 3. Add 1 tsp garam masala and cook for another 2 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToZymFb9d6t8RUEVxKCBqRsVV8GUfyxbGHhQ&s,70
Lauki Sabzi,Indian,Vegetable Dish,"BOTTLE GOURD, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, WATER",20,25,"1. Peel and chop 1 medium bottle gourd (lauki) into cubes. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped lauki to the pan, mix well, and cook for 10-15 minutes, stirring occasionally. 2. Add 1/2 cup of water and let it simmer until the lauki is cooked. 3. Add 1 tsp garam masala and cook for another 2 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://dinedelicious.in/wp-content/uploads/2020/09/Lauki-ki-Sabzi-6-500x500.jpg,45
Tindora Fry,Indian,Vegetable Dish,"TINDORA, ONION, CUMIN, TURMERIC, RED CHILI POWDER, SALT, OIL",20,25,"1. Wash and slice 200g tindora (ivy gourd) into thin rounds. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the sliced tindora to the pan, mix well, and cook on medium heat for 10-12 minutes, stirring occasionally. 2. Cook until the tindora turns golden and crispy. 3. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.whiskaffair.com/wp-content/uploads/2017/12/Tindora-Fry-2-3.jpg,45
Cabbage Sabzi,Indian,Vegetable Dish,"CABBAGE, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",25,30,"1. Shred 1 small cabbage and set aside. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the shredded cabbage to the pan, mix well, and cook on medium heat for 10-15 minutes, stirring occasionally. 2. Add 1 tsp garam masala and cook for another 2 minutes. 3. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://cdn.tarladalal.com/members/9306/procstepimgs/step-18_cabbage-sabzi-18-201140.jpg,55
Pumpkin Curry (Kaddu),Indian,Vegetable Dish,"PUMPKIN, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, WATER",25,30,"1. Peel and chop 300g pumpkin into cubes. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped pumpkin to the pan, mix well, and cook on medium heat for 10-15 minutes, stirring occasionally. 2. Add 1/2 cup of water and let it simmer until the pumpkin is tender. 3. Add 1 tsp garam masala and cook for another 2 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/10/pumpkin-curry-recipe.jpg,55
Palak Paneer,Indian,Vegetable Dish,"SPINACH, PANEER, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, WATER",20,25,"1. Wash and blanch 2 cups of spinach (palak). Blend it into a smooth puree. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the spinach puree to the pan and cook for 5-7 minutes on medium heat. 2. Add 200g cubed paneer to the pan, mix gently, and cook for another 5 minutes. 3. Add 1 tsp garam masala and cook for another 2 minutes. 4. Garnish with fresh cream and serve hot with roti or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2020/06/palak-paneer-recipe-500x375.jpg,45
Methi Malai Paneer,Indian,Vegetable Dish,"FENUGREEK LEAVES, PANEER, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, CREAM",30,35,"1. Wash and chop 1 cup of fresh fenugreek leaves (methi). 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped methi leaves to the pan and cook for 3-4 minutes. 2. Add 200g cubed paneer to the pan, mix gently, and cook for another 5 minutes. 3. Add 1/4 cup cream, 1 tsp garam masala, and cook for another 2 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.whiskaffair.com/wp-content/uploads/2020/03/Methi-Malai-Paneer-2-3.jpg,65
Kadai Paneer,Indian,Vegetable Dish,"PANEER, BELL PEPPERS, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, CORIANDER POWDER, CUMIN POWDER, RED CHILI POWDER, TURMERIC, GARAM MASALA, SALT, OIL",25,30,"1. Cut 200g paneer into cubes and set aside. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1 tsp coriander powder, 1 tsp cumin powder, 1/2 tsp turmeric, and 1 tsp red chili powder. Stir and cook for 2 minutes.","1. Add the bell peppers (1 green, 1 red, and 1 yellow) chopped into cubes to the pan and cook for 3-4 minutes. 2. Add the paneer cubes to the pan and mix gently. 3. Add 1 tsp garam masala and salt to taste. Stir well and cook for another 5 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/04/kadai-paneer-recipe.jpg,55
Shahi Paneer,Indian,Vegetable Dish,"PANEER, ONION, TOMATO, GINGER, GARLIC, CASHEWS, ALMONDS, CREAM, GREEN CARDAMOM, CLOVES, CINNAMON, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",30,40,"1. Cut 200g paneer into cubes and set aside. 2. In a pan, heat 2 tbsp oil and add 1-2 green cardamoms, 2 cloves, and 1 small cinnamon stick. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Grind 10-12 cashews and 8-10 almonds into a smooth paste using water.","1. Add the cashew-almond paste to the pan and cook for 5 minutes. 2. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes. 3. Add 1/4 cup cream and mix well. 4. Add the paneer cubes to the gravy and cook for another 5-7 minutes. 5. Add 1 tsp garam masala, stir, and cook for 2 more minutes. 6. Garnish with fresh cream and serve hot with naan or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/shahi-paneer-recipe.jpg,70
Malai Kofta,Indian,Vegetable Dish,"PANEER, POTATO, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CASHEWS, CREAM, RAISINS, GARAM MASALA, RED CHILI POWDER, TURMERIC, CUMIN POWDER, SALT, OIL",35,45,"1. Boil 2 medium-sized potatoes and mash them. 2. Grate 100g paneer and mix with the mashed potatoes. 3. Add 1 tbsp cornstarch, 1/2 tsp garam masala, salt to taste, and knead into a smooth dough. 4. Shape into small balls (koftas) and fry them in hot oil until golden brown. 5. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 6. Add 1 chopped onion and saute until golden brown. 7. Add 1 tsp ginger-garlic paste and saute for 1 minute. 8. Add 2 chopped tomatoes and cook until soft. 9. Add 1/2 tsp turmeric, 1 tsp red chili powder, 1 tsp cumin powder, and salt to taste. Stir and cook for 2 minutes.",1. Add 1/2 cup of water and cook for 5 minutes. 2. Add 1/4 cup cream and stir to make a smooth gravy. 3. Add the fried koftas to the gravy and cook for another 5 minutes. 4. Garnish with raisins and serve hot with naan or rice.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-9PHkX4-frjiFjDB1flXY9Dz7xSCGMui2cw&s,80
Vegetable Kofta,Indian,Vegetable Dish,"CARROT, PEAS, BEANS, POTATO, ONION, GINGER, GARLIC, GREEN CHILIES, CUMIN, CORIANDER POWDER, CUMIN POWDER, RED CHILI POWDER, GARAM MASALA, SALT, OIL",30,40,"1. Grate 1 carrot, 1/2 cup beans, 1 potato, and 1/2 cup peas. 2. In a pan, heat 1 tbsp oil and saute 1 chopped onion, 1 tsp ginger-garlic paste, and 1 green chili until golden brown. 3. Add the grated vegetables to the pan and cook for 5-7 minutes. 4. Add 1 tsp coriander powder, 1 tsp cumin powder, 1/2 tsp red chili powder, and salt to taste. Stir well and cook for 2 more minutes. 5. Let the mixture cool down and shape into small balls (koftas).","1. Deep fry the koftas in hot oil until golden brown. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and sauté until golden brown. 4. Add 1 tsp ginger-garlic paste and sauté for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes. 7. Add 1/2 cup water and let it simmer. 8. Add the fried koftas to the gravy and cook for 5 more minutes. 9. Garnish with fresh coriander leaves and serve hot with naan or rice.",https://vegecravings.com/wp-content/uploads/2018/03/Veg-Kofta-Recipe-Step-By-Step-Instructions.jpg,70
Dum Aloo (Kashmiri Style),Indian,Vegetable Dish,"BABY POTATO, ONION, TOMATO, GINGER, GARLIC, KASHMIRI RED CHILI POWDER, TURMERIC, GARAM MASALA, FENNEL SEEDS, YOGURT, SALT, OIL",30,40,"1. Boil and peel 10-12 baby potatoes. 2. In a pan, heat 2 tbsp oil and add 1 tsp fennel seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the boiled potatoes to the pan, stir well, and cook for 5 minutes. 2. Add 1/4 cup yogurt and cook for another 5 minutes. 3. Add 1 tsp garam masala and cook for 2 more minutes. 4. Garnish with fresh coriander leaves and serve hot with naan or rice.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7jNP4d2QxgG75_1PaQrRBhdlCtH7y4g_7Vw&s,70
Dum Aloo (North Indian Style),Indian,Vegetable Dish,"POTATO, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, TURMERIC, RED CHILI POWDER, GARAM MASALA, CUMIN POWDER, CORIANDER POWDER, SALT, OIL",25,35,"1. Peel and chop 4 medium-sized potatoes into cubes. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, 1 tsp cumin powder, 1 tsp coriander powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped potatoes to the pan, mix well, and cook on medium heat for 10-15 minutes, stirring occasionally. 2. Add 1/2 cup water, cover the pan, and cook for another 10 minutes. 3. Add 1 tsp garam masala and cook for another 2 minutes. 4. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7jNP4d2QxgG75_1PaQrRBhdlCtH7y4g_7Vw&s,60
Mixed Vegetable Curry,Indian,Vegetable Dish,"CARROT, BEANS, PEAS, POTATO, CAULIFLOWER, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",30,35,"1. Chop mixed vegetables (carrot, beans, peas, potato, cauliflower) into small pieces. 2. In a pan, heat 2 tbsp oil and add 1 tsp cumin seeds. Let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the chopped mixed vegetables to the pan, mix well, and cook for 5-7 minutes. 2. Add 1/2 cup of water and let it simmer for 10-15 minutes until the vegetables are cooked. 3. Add 1 tsp
",https://shwetainthekitchen.com/wp-content/uploads/2023/03/mixed-vegetable-curry.jpg,65
Gatte Ki Sabzi,Indian,Vegetable Dish,"GRAM FLOUR, YOGURT, ONION, GINGER, GARLIC, GREEN CHILIES, CUMIN, CORIANDER POWDER, CUMIN POWDER, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",40,50,"1. In a bowl, mix 1 cup gram flour, 1/2 tsp turmeric, 1/2 tsp red chili powder, 1/2 tsp cumin powder, and salt. 2. Add water gradually to make a stiff dough. 3. Divide the dough into small portions and roll them into cylindrical shapes. 4. Boil these cylindrical pieces in water for 10-15 minutes until they float. Remove and slice them into small pieces. 5. In a pan, heat 2 tbsp oil, add 1 tsp cumin seeds, and let them splutter. 6. Add 1 chopped onion and saute until golden brown. 7. Add 1 tsp ginger-garlic paste and saute for 1 minute. 8. Add 2 chopped tomatoes and cook until soft.","1. Add 1 tsp coriander powder, 1/2 tsp cumin powder, 1/2 tsp red chili powder, and salt. Stir and cook for 2 minutes. 2. Add 1/2 cup yogurt and cook for 3 minutes. 3. Add the gatte (boiled gram flour rolls) and cook for another 5 minutes. 4. Add 1 tsp garam masala and cook for 2 minutes. 5. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.vegrecipesofindia.com/wp-content/uploads/2018/05/gatte-ki-sabji-recipe-1-500x375.jpg,90
Paneer Butter Masala,Indian,Vegetable Dish,"PANEER, BUTTER, ONION, TOMATO, GINGER, GARLIC, CREAM, CASHEWS, RED CHILI POWDER, GARAM MASALA, SALT, OIL",25,35,"1. Cut 200g paneer into cubes and set aside. 2. In a pan, heat 2 tbsp butter, add 1 chopped onion, and saute until golden brown. 3. Add 1 tsp ginger-garlic paste and saute for 1 minute. 4. Add 2 chopped tomatoes and cook until soft. 5. Grind 8-10 cashews into a smooth paste using a little water.","1. Add the cashew paste to the pan and cook for 5 minutes. 2. Add 1/2 tsp red chili powder, 1/2 tsp turmeric, and salt to taste. Stir and cook for 2 minutes. 3. Add the paneer cubes and 1/4 cup cream. Stir gently and cook for 5 minutes. 4. Add 1 tsp garam masala, stir, and cook for 2 more minutes. 5. Garnish with fresh cream and serve hot with naan or rice.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpiCiOVd2z7Qhnu1FDY90QF7zkYcLfP1jgyA&s,60
Matar Paneer,Indian,Vegetable Dish,"PANEER, GREEN PEAS, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, RED CHILI POWDER, TURMERIC, GARAM MASALA, CUMIN POWDER, SALT, OIL",25,30,"1. Cut 200g paneer into cubes and set aside. 2. In a pan, heat 2 tbsp oil, add 1 tsp cumin seeds, and let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, 1/2 tsp cumin powder, and salt to taste. Stir and cook for 2 minutes.","1. Add 1/2 cup of water and cook for 5 minutes. 2. Add the green peas (1/2 cup) and cook for 10 minutes. 3. Add the paneer cubes to the pan and stir gently. 4. Add 1 tsp garam masala, stir, and cook for 5 more minutes. 5. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/03/matar-paneer.jpg,55
Mushroom Masala,Indian,Vegetable Dish,"MUSHROOMS, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, CUMIN, TURMERIC, RED CHILI POWDER, GARAM MASALA, SALT, OIL",25,30,"1. Clean and slice 200g mushrooms. 2. In a pan, heat 2 tbsp oil, add 1 tsp cumin seeds, and let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the sliced mushrooms and cook for 10 minutes. 2. Add 1 tsp garam masala, stir, and cook for 2 more minutes. 3. Garnish with fresh coriander leaves and serve hot with roti or rice.",https://shwetainthekitchen.com/wp-content/uploads/2023/03/mutter-mushroom.jpg,55
Corn Palak,Indian,Vegetable Dish,"CORN, SPINACH, ONION, TOMATO, GINGER, GARLIC, GREEN CHILIES, RED CHILI POWDER, GARAM MASALA, CUMIN POWDER, SALT, OIL",30,35,"1. Boil 1 cup of corn kernels and set aside. 2. In a pan, heat 2 tbsp oil, add 1 tsp cumin seeds, and let them splutter. 3. Add 1 chopped onion and saute until golden brown. 4. Add 1 tsp ginger-garlic paste and saute for 1 minute. 5. Add 2 chopped tomatoes and cook until soft. 6. Add 1/2 tsp red chili powder, 1/2 tsp cumin powder, and salt to taste. Stir and cook for 2 minutes.","1. Add the boiled corn and cook for 5 minutes. 2. Add 2 cups spinach (palak) leaves and cook until the spinach wilts. 3. Add 1 tsp garam masala and stir well. 4. Cook for 5 more minutes, then garnish with fresh coriander leaves. 5. Serve hot with roti or rice.",https://www.vegrecipesofindia.com/wp-content/uploads/2021/07/palak-corn-3.jpg,65
